

*SVYNAM SECTION001
*DATEUR 22/07/2021
*SVYCOM  ;Explo 1 : 22/07/2021 Guy L / Brigitte A / Eric R / Laurent S / Alex;D:\01 Synology Drive [Blade 15
*SVYTEA                                         
*UNITS INCLINATION D
*UNITS COMPASS D
*UNITS LENGTH M
*DIVING N
*DimInStation T
*DECLIN TO ADD 2.24
; FROM TO LENGTH BEARING INC LEFT UP DOWN RIGHT FLAGS COMMENTS
00	00	0.00	0.00  	0.00  	1.03	0.93	0.98	0.96	;Point 00 Entrée vertical falaise;D:\01 Synology Drive [Blade 15]\00 A Classer sur [Cloud]\Grotte En sait tout (39)\P1020159.JPG
E21	E22	1.65	221.10	-9.00 	1.91	*	2.23	1.17	;Petite salle num 2;
E22	*	1.66	218.70	-9.60 	*	*	*	*	
E22	*	1.95	138.80	7.40  	*	*	*	*	
E22	*	2.23	283.70	87.50 	*	*	*	*	
E22	*	1.17	220.10	-86.00	*	*	*	*	
E22	E23	2.38	219.10	7.40  	0.67	0.20	1.89	1.45	
E23	*	0.69	105.50	9.30  	*	*	*	*	
E23	*	0.20	300.00	-0.70 	*	*	*	*	
E23	*	1.92	76.70 	79.80 	*	*	*	*	
E23	*	1.45	157.60	-86.40	*	*	*	*	
E23	E24	6.83	194.50	8.60  	0.32	0.19	1.01	1.41	
E24	*	0.19	272.40	3.20  	*	*	*	*	
E24	*	1.01	52.30 	85.00 	*	*	*	*	
E24	*	1.52	78.70 	-86.50	*	*	*	*	
E24	E25	2.74	163.40	-31.50	0.00	0.00	0.00	0.00	
E24	*	0.32	85.20 	0.50  	*	*	*	*	
E24	*	0.19	283.70	-1.50 	*	*	*	*	
E24	*	1.01	144.00	76.60 	*	*	*	*	
E24	*	1.41	193.20	-86.60	*	*	*	*	
E24	EE3	1.75	203.80	17.70 	0.48	0.20	0.33	0.38	
EE3	*	0.50	80.50 	-1.10 	*	*	*	*	
EE3	*	0.21	276.10	19.20 	*	*	*	*	
EE3	*	0.36	73.00 	68.50 	*	*	*	*	
EE3	*	0.38	83.00 	-84.90	*	*	*	*	
EE3	EE31	4.33	169.90	2.80  	0.51	0.38	0.28	0.24	
EE31	*	0.52	114.00	6.40  	*	*	*	*	
EE31	*	0.40	294.40	17.80 	*	*	*	*	
EE31	*	0.28	80.40 	81.10 	*	*	*	*	
EE31	*	0.25	166.70	-77.80	*	*	*	*	
EE31	EE32	4.56	221.90	-3.30 	0.90	0.39	0.41	0.53	;e31 etr visee a vue;
EE32	*	0.93	144.00	7.10  	*	*	*	*	
EE32	*	0.42	309.50	20.60 	*	*	*	*	
EE32	*	0.42	102.30	76.90 	*	*	*	*	
EE32	*	0.55	286.70	-75.00	*	*	*	*	
E22	*	1.41	43.10 	8.20  	*	*	*	*	
E22	*	1.24	185.50	10.20 	*	*	*	*	
E22	*	2.19	131.60	84.70 	*	*	*	*	
E22	*	1.27	142.20	-84.80	*	*	*	*	
E22	F01	2.29	114.60	14.80 	1.11	0.20	2.48	1.58	
F01	*	1.11	337.60	2.70  	*	*	*	*	
F01	*	0.21	172.80	5.70  	*	*	*	*	
F01	*	2.50	311.70	83.70 	*	*	*	*	
F01	*	1.58	321.90	-86.70	*	*	*	*	
F01	F2	2.45	14.80 	50.10 	1.48	0.65	1.99	1.10	
F2	*	0.67	58.10 	11.20 	*	*	*	*	
F2	*	1.36	251.00	0.60  	*	*	*	*	
F2	*	2.00	147.70	84.70 	*	*	*	*	
F2	*	1.11	85.30 	-80.20	*	*	*	*	
F2	G1	2.08	140.10	-7.70 	0.40	0.41	2.03	2.20	;DÃ©part inf;
G1	*	0.49	43.90 	-4.00 	*	*	*	*	
G1	*	0.55	229.60	-1.40 	*	*	*	*	
G1	*	2.06	296.70	79.70 	*	*	*	*	
G1	*	2.30	117.60	-72.90	*	*	*	*	
G1	G2	2.10	56.90 	-61.70	*	*	4.10	0.52	
G2	*	0.60	105.30	8.10  	*	*	*	*	
G2	*	0.22	305.00	2.60  	*	*	*	*	
G2	*	0.52	71.30 	-87.40	*	*	*	*	
G2	*	4.27	269.00	73.70 	*	*	*	*	
G2	G3	4.12	174.70	-2.90 	0.59	0.39	0.50	0.29	
G3	*	0.62	75.40 	8.70  	*	*	*	*	
G3	*	0.39	277.70	-3.70 	*	*	*	*	
G3	*	0.50	220.40	83.30 	*	*	*	*	
G3	*	0.29	37.40 	-80.20	*	*	*	*	
G3	G4	3.05	189.40	-20.10	0.90	0.22	1.27	0.29	;g4 au dessus puits 15 m ?;
G4	*	0.92	93.20 	9.40  	*	*	*	*	
G4	*	0.23	271.70	-5.80 	*	*	*	*	
G4	*	1.28	264.20	81.70 	*	*	*	*	
G4	*	0.29	306.60	-80.50	*	*	*	*	
G4	G5	2.42	195.00	20.80 	1.02	0.56	1.05	1.57	
G5	GG01	10.07	90.50 	-79.00	1.50	1.50	10.00	2.00	;Dans puits... boucle non fermée;
G5	*	1.05	64.70 	7.30  	*	*	*	*	
G5	*	0.61	256.40	5.50  	*	*	*	*	
G5	*	1.05	281.00	88.70 	*	*	*	*	
G5	*	1.57	61.80 	-89.40	*	*	*	*	
G5	G6	2.95	109.80	46.90 	*	*	7.77	0.72	
G6	*	1.00	233.80	3.60  	*	*	*	*	
G6	*	0.94	24.50 	4.50  	*	*	*	*	
G6	*	7.98	301.90	76.70 	*	*	*	*	
G6	*	0.72	79.10 	-87.90	*	*	*	*	
G6	G7	8.38	322.00	72.50 	1.38	1.08	0.86	2.48	;Racines! !!!;
G7	*	8.25	287.20	71.10 	*	*	*	*	
G7	*	1.50	212.90	13.50 	*	*	*	*	
G7	*	1.21	26.00 	4.00  	*	*	*	*	
G7	*	0.88	283.30	78.80 	*	*	*	*	
G7	*	2.90	320.60	-58.90	*	*	*	*	
F2	*	1.49	244.60	-5.00 	*	*	*	*	
F2	*	0.69	56.50 	8.20  	*	*	*	*	
F2	*	1.10	337.70	-88.40	*	*	*	*	
F2	*	1.98	141.50	82.70 	*	*	*	*	
F2	F3	2.66	295.30	78.20 	0.50	*	1.13	3.25	;Escalade;
F3	*	0.64	200.20	-13.30	*	*	*	*	
F3	*	1.13	102.00	89.00 	*	*	*	*	
F3	*	3.30	133.90	-80.30	*	*	*	*	
F3	F4	1.50	357.20	18.80 	0.77	1.10	1.44	0.69	
F4	*	0.81	306.60	1.70  	*	*	*	*	
F4	*	1.12	99.40 	-2.80 	*	*	*	*	
F4	*	1.45	167.90	84.90 	*	*	*	*	
F4	*	0.70	304.70	-79.20	*	*	*	*	
F4	F5	3.81	39.80 	-14.10	1.15	0.17	2.98	0.67	
F5	*	1.44	286.50	33.90 	*	*	*	*	
F5	*	0.21	89.50 	-9.40 	*	*	*	*	
F5	*	3.33	244.60	63.50 	*	*	*	*	
F5	*	0.71	124.00	-69.80	*	*	*	*	
F5	F6	4.30	26.40 	-43.90	0.59	*	1.89	0.36	
F6	*	0.60	212.70	12.00 	*	*	*	*	
F6	*	0.86	8.10  	2.00  	*	*	*	*	
F6	*	1.94	226.20	76.70 	*	*	*	*	
F6	*	0.36	58.20 	-82.20	*	*	*	*	
F6	F7	5.65	211.50	-67.60	0.53	*	3.53	1.18	
F7	*	1.96	71.10 	11.20 	*	*	*	*	
F7	*	0.85	211.40	4.10  	*	*	*	*	
F7	*	3.55	62.20 	84.30 	*	*	*	*	
F7	*	1.18	173.80	-87.90	*	*	*	*	
F7	F8	3.94	134.00	-17.90	0.19	1.09	1.44	1.68	;MarquÃ© F8;
F8	*	1.18	239.70	4.20  	*	*	*	*	
F8	*	0.20	50.30 	18.20 	*	*	*	*	
F8	*	2.30	264.00	76.70 	*	*	*	*	
F8	*	1.70	51.60 	-82.20	*	*	*	*	
F8	F9	5.57	358.50	-38.80	0.57	1.26	1.63	0.63	
F9	*	0.63	273.20	10.80 	*	*	*	*	
F9	*	1.40	91.60 	-3.30 	*	*	*	*	
F9	*	1.66	204.10	79.40 	*	*	*	*	
F9	*	0.63	171.60	-83.20	*	*	*	*	
F9	F10	4.46	55.50 	-63.80	0.50	0.70	5.00	0.00	;imp, arrêt sur calcite;
F8	*	0.22	70.00 	26.20 	*	*	*	*	
F8	*	1.39	259.50	-5.00 	*	*	*	*	
F8	*	1.46	314.70	81.20 	*	*	*	*	
F8	*	1.72	68.90 	-81.00	*	*	*	*	
F8	H1	1.50	120.40	-79.90	0.21	1.09	2.06	0.37	
H1	*	0.22	73.60 	12.30 	*	*	*	*	
H1	*	1.14	235.20	-10.60	*	*	*	*	
H1	*	2.14	257.60	74.00 	*	*	*	*	
H1	*	0.37	299.90	-81.30	*	*	*	*	
H1	H2	2.50	198.40	-21.50	0.18	0.91	3.37	0.30	
H2	*	0.19	96.40 	19.50 	*	*	*	*	
H2	*	0.98	292.90	16.20 	*	*	*	*	
H2	*	3.44	277.90	78.10 	*	*	*	*	
H2	*	0.31	23.10 	-75.50	*	*	*	*	
H2	H3	2.86	178.90	-9.50 	0.44	0.37	1.75	0.21	
H3	*	0.47	70.00 	8.30  	*	*	*	*	
H3	*	0.40	288.10	5.40  	*	*	*	*	
H3	*	1.77	309.90	81.80 	*	*	*	*	
H3	*	0.21	258.00	-84.50	*	*	*	*	
H3	H4	6.24	175.80	-12.00	1.44	1.49	6.92	0.47	;sommet gros bloc fond puits;
H4	*	1.45	85.10 	6.80  	*	*	*	*	
H4	*	1.52	268.10	10.70 	*	*	*	*	
H4	*	6.97	24.20 	82.80 	*	*	*	*	
H4	*	0.48	340.90	-77.70	*	*	*	*	
H4	H5	4.86	181.60	-40.90	0.21	0.66	1.63	0.74	
H5	*	0.21	119.20	3.30  	*	*	*	*	
H5	*	0.67	309.90	-2.90 	*	*	*	*	
H5	*	1.64	312.70	83.10 	*	*	*	*	
H5	*	0.74	274.30	-87.30	*	*	*	*	
H5	H6	5.33	239.40	-22.10	1.02	0.51	2.67	0.32	;MarquÃ©, belle galerie;
H6	*	1.03	112.50	7.30  	*	*	*	*	
H6	*	0.53	285.70	13.60 	*	*	*	*	
H6	*	2.67	102.20	89.00 	*	*	*	*	
H6	*	0.32	309.00	-84.60	*	*	*	*	
H6	H7	5.55	163.80	0.40  	0.20	0.83	2.46	1.40	
H7	*	0.21	65.90 	18.70 	*	*	*	*	
H7	*	1.02	284.70	-0.80 	*	*	*	*	
H7	*	2.48	265.80	82.40 	*	*	*	*	
H7	*	1.40	235.70	-86.40	*	*	*	*	
H7	HH1	8.09	153.70	-28.40	0.22	0.28	0.29	0.46	
HH1	*	0.23	75.90 	12.50 	*	*	*	*	
HH1	*	0.29	261.80	-1.30 	*	*	*	*	
HH1	*	0.41	279.70	45.60 	*	*	*	*	
HH1	*	0.49	194.20	-68.30	*	*	*	*	
H7	H8	7.73	164.80	8.50  	0.70	0.57	1.04	1.54	
H8	*	0.20	125.30	10.50 	*	*	*	*	
H8	*	0.73	297.40	-5.20 	*	*	*	*	
H8	*	1.04	345.20	85.60 	*	*	*	*	
H8	*	1.55	293.90	-84.40	*	*	*	*	
H8	HH2	5.87	172.80	-2.40 	0.25	0.32	0.44	0.27	;arret sur colmatage boue;
HH2	*	0.28	96.50 	22.90 	*	*	*	*	
HH2	*	0.34	281.00	3.30  	*	*	*	*	
HH2	*	0.48	171.70	67.50 	*	*	*	*	
